group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;MOV,;-24,;0x2a965,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x2a7c6,;Not found;0;Success;8;8;0;8;0;1;
1;L;CMP,;0,;0x2a7a7,;Not found;0;Success;1;1;0;1;0;1;
1;L;CMP,;0,;0x2a745,;Not found;0;Success;1;1;0;1;0;1;
1;L;MULSD,;0,;0x2a72f,;Success;1;Success;8;8;0;8;8;1;
1;L;MOV,;0,;0x2a72c,;Not found;0;Success;8;8;0;8;0;1;
1;L;MULSD,;0,;0x2a704,;Success;1;Success;8;8;0;8;8;1;
1;L;MOV,;0,;0x2a701,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x2ab33,;Not found;0;Success;8;8;0;8;0;1;
2;LL;CMP,MOVSX,;56,67,;0x2aa69,0x2aa73,;Not found;0;Success;2;2;0;12;0;1;
1;L;MOV,;48,;0x2aab8,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;-24,;0x2a8b5,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOVSD,;0,;0x2a88a,;Success;8;Success;8;8;0;8;8;1;
1;L;MOV,;0,;0x2a887,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOVSD,;0,;0x2a85a,;Success;8;Success;8;8;0;8;8;1;
1;L;MOV,;0,;0x2a857,;Not found;0;Success;8;8;0;8;0;1;
4;LLLL;MOV,MOV,MOV,MOV,;16,24,16,24,;0x2a84d,0x2a87d,0x2a6f0,0x2a71b,;Success;0;Success;32;16;16;16;0;2;
2;LL;MOV,MOV,;0,240,;0x2aa50,0x2aa58,;Not found;0;Success;16;16;0;248;0;2;
3;LLL;CMP,MOVSX,MOV,;56,67,0,;0x2a97a,0x2a985,0x2aae8,;Not found;0;Success;10;10;0;68;0;1;
1;L;MOV,;0,;0x2aab5,;Not found;0;Success;8;8;0;8;0;1;
2;LL;CMP,MOVSX,;56,67,;0x2a8ca,0x2a8d4,;Not found;0;Success;2;2;0;12;0;1;
3;LLL;MOV,MOV,MOV,;76920,77059,76961,;0x2a7c9,0x2a73e,0x2a7a0,;RIP based value;0;Success;24;24;0;147;0;1;
1;L;MOV,;80,;0x2a7c2,;Success;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x2ab36,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;-24,;0x2aa54,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x2aaf8,;Not found;0;Success;8;8;0;8;0;1;
25;SLSLSLSLSSLLSLLLSLSLLSLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOVSD,MOVSD,MOV,MOV,MOVSD,MULSD,ADDSD,MOVSD,MULSD,ADDSD,MOV,;8,8,8,8,8,8,8,8,24,8,8,24,8,8,0,0,8,8,8,0,8,8,0,8,16,;0x2a818,0x2a82a,0x2a843,0x2a852,0x2a873,0x2a882,0x2a8a3,0x2a8ad,0x2aa90,0x2aa95,0x2aa9f,0x2aaa4,0x2aac5,0x2aacc,0x2a6fc,0x2a727,0x2ab18,0x2ab22,0x2a759,0x2a764,0x2a76c,0x2a782,0x2a78d,0x2a795,0x2a7b0,;Success;0;Success;200;32;168;32;0;1;
1;L;CMP,;0,;0x2a7dc,;Not found;0;Success;1;1;0;1;0;1;
2;LL;MOV,MOV,;0,240,;0x2a962,0x2a969,;Not found;0;Success;16;16;0;248;0;2;
1;L;MOV,;0,;0x2a7d0,;Success;8;Success;8;8;0;8;8;1;
2;LL;MOV,MOV,;0,240,;0x2a8b2,0x2a8b9,;Not found;0;Success;16;16;0;248;0;2;
