group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;S;VMOVUPD,;192,;0x42ef4,;Success;0;Success;32;32;0;32;0;1;
1;S;VMOVUPD,;224,;0x42efe,;Success;0;Success;32;32;0;32;0;1;
1;S;VMOVUPD,;32,;0x42ea9,;Success;0;Success;32;32;0;32;0;1;
1;S;VMOVUPD,;128,;0x42ee0,;Success;0;Success;32;32;0;32;0;1;
1;S;VMOVUPD,;0,;0x42ea3,;Success;0;Success;32;32;0;32;0;1;
1;S;VMOVUPD,;96,;0x42ed9,;Success;0;Success;32;32;0;32;0;1;
1;S;VMOVUPD,;160,;0x42eea,;Success;0;Success;32;32;0;32;0;1;
1;S;VMOVUPD,;64,;0x42ed2,;Success;0;Success;32;32;0;32;0;1;
