group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;CMP,;0,;0x3d411,;Not found;0;Success;1;1;0;1;0;1;
2;LL;MOV,MOV,;0,240,;0x3d51f,0x3d526,;Not found;0;Success;16;16;0;248;0;2;
1;L;VMOVSD,;0,;0x3d4c6,;Success;1;Success;8;8;0;8;8;1;
2;LL;MOV,MOV,;0,240,;0x3d6d8,0x3d6e0,;Not found;0;Success;16;16;0;248;0;2;
1;L;MOV,;0,;0x3d4be,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x3d7cb,;Not found;0;Success;8;8;0;8;0;1;
2;LL;CMP,MOVSX,;56,67,;0x3d6f1,0x3d6fb,;Not found;0;Success;2;2;0;12;0;1;
1;L;VFMADD231SD,;0,;0x3d378,;Success;1;Success;8;8;0;8;8;1;
1;L;MOV,;0,;0x3d4f3,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x3d7ce,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;48,;0x3d788,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x3d398,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3d4f6,;Success;1;Success;8;8;0;8;8;1;
1;L;MOV,;48,;0x3d743,;Not found;0;Success;8;8;0;8;0;1;
1;L;CMP,;0,;0x3d441,;Not found;0;Success;1;1;0;1;0;1;
3;LLL;CMP,MOVSX,MOV,;56,67,0,;0x3d5f2,0x3d5fe,0x3d778,;Not found;0;Success;10;10;0;68;0;1;
1;L;CMP,;0,;0x3d3ad,;Not found;0;Success;1;1;0;1;0;1;
1;L;MOV,;-24,;0x3d6dc,;Not found;0;Success;8;8;0;8;0;1;
4;LLLL;MOV,MOV,MOV,MOV,;16,24,16,24,;0x3d4ba,0x3d4ea,0x3d368,0x3d38b,;Success;0;Success;32;16;16;16;0;2;
1;L;MOV,;0,;0x3d372,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x3d740,;Not found;0;Success;8;8;0;8;0;1;
2;LL;CMP,MOVSX,;56,67,;0x3d537,0x3d541,;Not found;0;Success;2;2;0;12;0;1;
3;LLL;MOV,MOV,MOV,;86035,86171,86071,;0x3d42e,0x3d3a6,0x3d40a,;RIP based value;0;Success;24;24;0;144;0;1;
1;L;MOV,;80,;0x3d427,;Success;0;Success;8;8;0;8;0;1;
20;SLSLSLSLSSLLSLLLSLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,VMOVSD,VMOVSD,MOV,MOV,VFMADD132SD,VFMADD132SD,;16,16,16,16,16,16,16,16,24,16,16,24,16,16,8,8,16,16,8,8,;0x3d485,0x3d497,0x3d4b0,0x3d4c1,0x3d4e0,0x3d4ee,0x3d510,0x3d51a,0x3d720,0x3d725,0x3d72f,0x3d73b,0x3d755,0x3d75c,0x3d36c,0x3d392,0x3d7b0,0x3d7ba,0x3d3d5,0x3d3fe,;Success;0;Success;160;24;136;24;0;1;
1;L;MOV,;-24,;0x3d522,;Not found;0;Success;8;8;0;8;0;1;
2;LL;MOV,MOV,;0,240,;0x3d5da,0x3d5e1,;Not found;0;Success;16;16;0;248;0;2;
1;L;MOV,;0,;0x3d43d,;Success;1;Success;8;8;0;8;8;1;
1;L;VFMADD231SD,;0,;0x3d39b,;Success;1;Success;8;8;0;8;8;1;
1;L;MOV,;-24,;0x3d5dd,;Not found;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x3d42b,;Not found;0;Success;8;8;0;8;0;1;
