key;label;
CORENTIN-R5-PC_3707;1;
CORENTIN-R5-PC_3707_3707;1.0;
CORENTIN-R5-PC_3707_3729;1.1;
CORENTIN-R5-PC_3707_3730;1.2;
CORENTIN-R5-PC_3707_3731;1.3;
CORENTIN-R5-PC_3687;0;
CORENTIN-R5-PC_3687_3687;0.0;
CORENTIN-R5-PC_3687_3726;0.1;
CORENTIN-R5-PC_3687_3727;0.2;
CORENTIN-R5-PC_3687_3728;0.3;
