loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;
464;main;QuadTree::calculateForce(Particle*, double&, double&) const;231;new_allocator.h:172-172,deque.tcc:565-568,quadtree.cpp:142-142,quadtree.cpp:149-158,quadtree.cpp:164-170,quadtree.cpp:176-181,stl_deque.h:212-212,stl_deque.h:265-267,stl_deque.h:1603-1603;Innermost;69.675689697266;40.404998779297;;;;;;69.675689697266;40.404998779297;;;;;;;;
465;main;QuadTree::calculateForce(Particle*, double&, double&) const;231;new_allocator.h:191-191,quadtree.cpp:158-158,quadtree.cpp:164-164,quadtree.cpp:183-186,stl_deque.h:1540-1541,stl_deque.h:1545-1545,stl_deque.h:1548-1548;Outermost;71.477722167969;41.449996948242;;;;;;1.8020318746567;1.0449999570847;;;;;;;;
469;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;quadtree.cpp:278-282;Innermost;0.37075287103653;0.21499994397163;;;;;;0.37075287103653;0.21499994397163;;;;;;;;
470;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;stl_vector.h:1131-1131,stl_iterator.h:1068-1068,quadtree.cpp:277-282;Outermost;0.57768476009369;0.33499994874001;;;;;;0.206931874156;0.11999998241663;;;;;;;;
472;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;quadtree.cpp:275-275;Single;0.043110806494951;0.024999996647239;;;;;;0.043110806494951;0.024999996647239;;;;;;;;
474;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;quadtree.cpp:275-275;Single;0.034488644450903;0.01999999769032;;;;;;0.034488644450903;0.01999999769032;;;;;;;;
451;main;QuadTree::updateParticles(double) [clone ._omp_fn.2];197;stl_vector.h:1131-1131,quadtree.cpp:296-296,quadtree.cpp:303-304,quadtree.cpp:311-312;Single;0.017244322225451;0.00999999884516;;;;;;0.017244322225451;0.00999999884516;;;;;;;;
468;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;quadtree.cpp:275-275;Innermost;0.0086221611127257;0.00499999942258;;;;;;0.0086221611127257;0.00499999942258;;;;;;;;
