loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;
458;main;QuadTree::calculateForce(Particle*, double&, double&) const;231;new_allocator.h:172-172,deque.tcc:565-568,quadtree.cpp:144-144,quadtree.cpp:151-160,quadtree.cpp:166-172,quadtree.cpp:178-183,stl_deque.h:212-212,stl_deque.h:265-267,stl_deque.h:1603-1603;Innermost;58.087326049805;40.93424987793;20.349990844727;29.227499008179;37.600048065186;12.171162605286;8.4500284194946;58.087326049805;40.93424987793;20.349990844727;29.227499008179;37.600048065186;12.171162605286;8.4500284194946;8;;
459;main;QuadTree::calculateForce(Particle*, double&, double&) const;231;new_allocator.h:191-191,quadtree.cpp:160-160,quadtree.cpp:166-166,quadtree.cpp:185-188,stl_deque.h:1540-1541,stl_deque.h:1545-1545,stl_deque.h:1548-1548;Outermost;59.926933288574;42.230625152588;21.154991149902;30.153123855591;38.645050048828;12.597151756287;8.5809164047241;1.8396097421646;1.2963765859604;0.70500010251999;0.92562478780746;1.1299995183945;0.55792528390884;0.1483101695776;8;;
463;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;quadtree.cpp:280-284;Innermost;0.34655627608299;0.24421887099743;0.099999971687794;0.17437499761581;0.26500004529953;0.10754555463791;0.06298740953207;0.34655627608299;0.24421887099743;0.099999971687794;0.17437499761581;0.26500004529953;0.10754555463791;0.06298740953207;8;;
464;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;stl_vector.h:1131-1131,stl_iterator.h:1068-1068,quadtree.cpp:279-284;Outermost;0.54529851675034;0.38427290320396;0.16499997675419;0.27437499165535;0.39500001072884;0.14656585454941;0.084364771842957;0.19874228537083;0.14005406200886;0.059999994933605;0.099999986588955;0.15499998629093;0.049876533448696;0.028284268453717;8;;
448;main;QuadTree::updateParticles(double) [clone ._omp_fn.2];196;stl_vector.h:1131-1131,quadtree.cpp:298-298,quadtree.cpp:305-306,quadtree.cpp:313-314;Single;0.045959480106831;0.032387733459473;0.00499999942258;0.023124996572733;0.03999999538064;0.03903891146183;0.012799970805645;0.045959480106831;0.032387733459473;0.00499999942258;0.023124996572733;0.03999999538064;0.03903891146183;0.012799970805645;8;;
452;main;QuadTree::buildTree();228;quadtree.cpp:73-83,quadtree.cpp:459-459;Single;0.032295681536198;0.022758830338717;0.059999991208315;0.064999997615814;0.070000000298023;0.0130157424137;0.0070710740983486;0.032295681536198;0.022758830338717;0.059999991208315;0.064999997615814;0.070000000298023;0.0130157424137;0.0070710740983486;2;;
466;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;quadtree.cpp:277-277;Single;0.026084819808602;0.018382022157311;0.00499999942258;0.014999997802079;0.034999992698431;0.017749898135662;0.012583054602146;0.026084819808602;0.018382022157311;0.00499999942258;0.014999997802079;0.034999992698431;0.017749898135662;0.012583054602146;7;;
468;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;quadtree.cpp:277-277;Single;0.023600783199072;0.01663151755929;0.0049999989569187;0.011874998919666;0.019999999552965;0.016851166263223;0.0053033009171486;0.023600783199072;0.01663151755929;0.0049999989569187;0.011874998919666;0.019999999552965;0.016851166263223;0.0053033009171486;8;;
462;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;quadtree.cpp:277-277;Innermost;0.016147799789906;0.011379386298358;0.00499999942258;0.010833332315087;0.014999998733401;0.013722374103963;0.0049159601330757;0.016147799789906;0.011379386298358;0.00499999942258;0.010833332315087;0.014999998733401;0.013722374103963;0.0049159601330757;6;;
461;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;quadtree.cpp:277-277;Innermost;0.012421514838934;0.008753465488553;0.0049999989569187;0.008333332836628;0.0099999997764826;0.0090251257643104;0.0025819889269769;0.012421514838934;0.008753465488553;0.0049999989569187;0.008333332836628;0.0099999997764826;0.0090251257643104;0.0025819889269769;6;;
451;main;QuadTree::buildTree();228;stl_algobase.h:262-262,quadtree.cpp:444-447,std_abs.h:72-72;Single;0.0086950631812215;0.0061274277977645;0.0099999979138374;0.017499998211861;0.024999996647239;0.014625245705247;0.010606600902975;0.0086950631812215;0.0061274277977645;0.0099999979138374;0.017499998211861;0.024999996647239;0.014625245705247;0.010606600902975;2;;
