loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;
458;main;QuadTree::calculateForce(Particle*, double&, double&) const;231;new_allocator.h:172-172,deque.tcc:565-568,quadtree.cpp:144-144,quadtree.cpp:151-160,quadtree.cpp:166-172,quadtree.cpp:178-183,stl_deque.h:212-212,stl_deque.h:265-267,stl_deque.h:1603-1603;Innermost;67.293479919434;36.674987792969;;;;;;67.293479919434;36.674987792969;;;;;;;;
459;main;QuadTree::calculateForce(Particle*, double&, double&) const;231;new_allocator.h:191-191,quadtree.cpp:160-160,quadtree.cpp:166-166,quadtree.cpp:185-188,stl_deque.h:1540-1541,stl_deque.h:1545-1545,stl_deque.h:1548-1548;Outermost;69.366874694824;37.804988861084;;;;;;2.0733911991119;1.1299995183945;;;;;;;;
463;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;quadtree.cpp:280-284;Innermost;0.4862380027771;0.26500004529953;;;;;;0.4862380027771;0.26500004529953;;;;;;;;
464;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;stl_vector.h:1131-1131,stl_iterator.h:1068-1068,quadtree.cpp:279-284;Outermost;0.68807262182236;0.37500002980232;;;;;;0.20183458924294;0.10999998450279;;;;;;;;
462;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;quadtree.cpp:277-277;Innermost;0.027522899210453;0.014999997802079;;;;;;0.027522899210453;0.014999997802079;;;;;;;;
448;main;QuadTree::updateParticles(double) [clone ._omp_fn.2];196;stl_vector.h:1131-1131,quadtree.cpp:298-298,quadtree.cpp:305-306,quadtree.cpp:313-314;Single;0.027522899210453;0.014999997802079;;;;;;0.027522899210453;0.014999997802079;;;;;;;;
461;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;quadtree.cpp:277-277;Innermost;0.018348600715399;0.00999999884516;;;;;;0.018348600715399;0.00999999884516;;;;;;;;
468;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];232;quadtree.cpp:277-277;Single;0.0091743003576994;0.00499999942258;;;;;;0.0091743003576994;0.00499999942258;;;;;;;;
