key;label;
CORENTIN-R5-PC_4581;0;
CORENTIN-R5-PC_4581_4581;0.0;
CORENTIN-R5-PC_4581_4624;0.1;
CORENTIN-R5-PC_4581_4625;0.2;
CORENTIN-R5-PC_4581_4626;0.3;
CORENTIN-R5-PC_4601;1;
CORENTIN-R5-PC_4601_4601;1.0;
CORENTIN-R5-PC_4601_4627;1.1;
CORENTIN-R5-PC_4601_4628;1.2;
CORENTIN-R5-PC_4601_4629;1.3;
