group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
6;LLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,;8,16,24,32,40,48,;0x3fb45,0x3fb6c,0x3fb93,0x3fbba,0x3fbe1,0x3fc08,;Not found;0;Success;48;48;0;48;0;6;
2;LL;MOV,MOV,;0,8,;0x3fc3c,0x3fb1d,;Not found;0;Success;16;16;0;16;0;2;
40;LLSSSLLSSSLLSSSLLSSSLLSSSLLSSSLLSSSLLSSS;CMP,CMP,INC,MOV,MOV,CMP,CMP,INC,MOV,MOV,CMP,CMP,INC,MOV,MOV,CMP,CMP,INC,MOV,MOV,CMP,CMP,INC,MOV,MOV,CMP,CMP,INC,MOV,MOV,CMP,CMP,INC,MOV,MOV,CMP,CMP,INC,MOV,MOV,;8,9,24,0,9,8,9,24,0,9,8,9,24,0,9,8,9,24,0,9,8,9,24,0,9,8,9,24,0,9,8,9,24,0,9,8,9,24,0,9,;0x3fc38,0x3fb00,0x3fb0a,0x3fb0d,0x3fb10,0x3fb19,0x3fb24,0x3ff10,0x3ff13,0x3ff16,0x3fb41,0x3fb4b,0x3ff40,0x3ff43,0x3ff46,0x3fb68,0x3fb72,0x3ff50,0x3ff53,0x3ff56,0x3fb8f,0x3fb99,0x3ff60,0x3ff63,0x3ff66,0x3fbb6,0x3fbc0,0x3ff20,0x3ff23,0x3ff26,0x3fbdd,0x3fbe7,0x3ff30,0x3ff33,0x3ff36,0x3fc04,0x3fc0e,0x3ff00,0x3ff03,0x3ff06,;Success;0;Success;120;14;106;28;0;1;
