group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
16;LLLLLLLLSSSSSSSS;VADDPD,VADDPD,VADDPD,VADDPD,VADDPD,VADDPD,VADDPD,VADDPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,128,160,192,224,0,32,64,96,128,160,192,224,;0x3f216,0x3f21d,0x3f224,0x3f22b,0x3f232,0x3f23c,0x3f246,0x3f250,0x3f25a,0x3f261,0x3f268,0x3f26f,0x3f276,0x3f280,0x3f28a,0x3f294,;Success;256;Success;512;256;256;256;256;8;
8;LLLLLLLL;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,128,160,192,224,;0x3f1d7,0x3f1e0,0x3f1e6,0x3f1ec,0x3f1f2,0x3f1fb,0x3f204,0x3f20d,;Success;256;Success;256;256;0;256;256;8;
