Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;910047;72.355186462402;0;74.726287841797;0;1741905886;0.2537937795418;0.37711266592398;183757;2.6229539742521;1.7227497369556;88.995416221069;83530.839765076;0;0.0071827244858966;1741905812;6.019764749836;0.001197093568494;
CORENTIN-R5-PC;_ALL;_ALL;0;910047;72.355186462402;0;74.726287841797;0;1741905886;0.2537937795418;0.37711266592398;183757;2.6229539742521;1.7227497369556;88.995416221069;83530.839765076;0;0.0071827244858966;1741905812;6.019764749836;0.001197093568494;
CORENTIN-R5-PC;34668;_ALL;0;910047;69.959655761719;0;74.726287841797;0;1741905886;0.31357210433655;0.29488234303105;183757;2.9924321643976;1.3062042887813;94.549215320317;48154.793717854;0;0.0103831822628;1741905812;0.53161889862289;0.0020766364525599;
CORENTIN-R5-PC;34668;34713;12.111166954041;916916;56.974842071533;0;72.425018310547;0;1741905886;0.28960147083187;0;491895;2.7468252572813;1.54454117777;95.401706456737;11394.969751089;1.3688859939575;0.01755160429284;1741905814;0;0;
CORENTIN-R5-PC;34668;34711;9.8420829772949;910058;56.554862976074;0;72.418273925781;0;1741905886;0.33595690853537;0;491783;2.7053367015013;1.5471699452217;95.411769890458;11310.974423971;1.3671389818192;0;1741905814;0;0;
CORENTIN-R5-PC;34668;34668;7.0332751274109;910047;69.959655761719;0;74.726287841797;0;1741905886;0.28587900716833;1.0148703610744;183757;3.2590197667334;0.67896259627551;92.917672623154;13991.933299407;1.5346839427948;0.014293950358417;1741905812;1.8296255315041;0;
CORENTIN-R5-PC;34668;34712;18.41092300415;910059;57.284572601318;0;72.418212890625;0;1741905886;0.34913408765722;0;491849;3.1945752817755;1.5972883672238;94.842312793301;11456.916243387;1.3668749332428;0.0087283521914305;1741905814;0;0.0087283521914305;
CORENTIN-R5-PC;34692;_ALL;0;910304;72.355186462402;0;73.705513000488;0;1741905886;0.17243305291488;0.48903147335637;204791;2.1200791592376;2.2896850007483;81.436470201651;35376.046047222;0;0.0028267715353636;1741905813;13.489354033616;0;
CORENTIN-R5-PC;34692;34714;15.964910507202;910309;36.319988250732;0;72.414283752441;0;1741905886;0.11013217623907;0;496029;2.1475781374148;3.0286351756116;94.713739625364;7263.9982911101;1.430459022522;0;1741905814;0;0;
CORENTIN-R5-PC;34692;34715;56.679584503174;910316;34.400016784668;0;72.41423034668;0;1741905886;0.24709287472185;0;496084;2.2238366835854;4.1424399782686;93.372062849902;6880.0034881835;1.4344120025635;0.014534876351698;1741905814;0;0;
CORENTIN-R5-PC;34692;34692;7.6536660194397;910304;72.355186462402;0;73.705513000488;0;1741905886;0.11747601196722;1.1954913016672;204791;2.0869275110887;0.096744961275955;63.526866262296;14471.037886993;7.2705340385437;0;1741905813;32.976211738719;0;
CORENTIN-R5-PC;34692;34716;72.18042755127;917433;33.805030822754;0;72.42130279541;0;1741905886;0.28102325496373;0;496130;2.0559073660014;4.304092932384;93.358892862981;6761.0063809356;1.4199659824371;0;1741905814;0;0;
