group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
6;LLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,;8,16,24,32,40,48,;0x400c5,0x400ec,0x40113,0x4013a,0x40161,0x40188,;Not found;0;Success;48;48;0;48;0;6;
2;LL;MOV,MOV,;0,8,;0x401bc,0x4009d,;Not found;0;Success;16;16;0;16;0;2;
40;LLSSSLLSSSLLSSSLLSSSLLSSSLLSSSLLSSSLLSSS;CMP,CMP,INC,MOV,MOV,CMP,CMP,INC,MOV,MOV,CMP,CMP,INC,MOV,MOV,CMP,CMP,INC,MOV,MOV,CMP,CMP,INC,MOV,MOV,CMP,CMP,INC,MOV,MOV,CMP,CMP,INC,MOV,MOV,CMP,CMP,INC,MOV,MOV,;8,9,24,0,9,8,9,24,0,9,8,9,24,0,9,8,9,24,0,9,8,9,24,0,9,8,9,24,0,9,8,9,24,0,9,8,9,24,0,9,;0x401b8,0x40080,0x4008a,0x4008d,0x40090,0x40099,0x400a4,0x40490,0x40493,0x40496,0x400c1,0x400cb,0x404c0,0x404c3,0x404c6,0x400e8,0x400f2,0x404d0,0x404d3,0x404d6,0x4010f,0x40119,0x404e0,0x404e3,0x404e6,0x40136,0x40140,0x404a0,0x404a3,0x404a6,0x4015d,0x40167,0x404b0,0x404b3,0x404b6,0x40184,0x4018e,0x40480,0x40483,0x40486,;Success;0;Success;120;14;106;28;0;1;
