loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;
456;main;QuadTree::calculateForce(Particle*, double&, double&) const;232;new_allocator.h:172-172,deque.tcc:565-568,quadtree.cpp:144-144,quadtree.cpp:151-159,quadtree.cpp:166-172,quadtree.cpp:178-183,stl_deque.h:212-212,stl_deque.h:265-267,stl_deque.h:1603-1603;Innermost;59.687694549561;43.187141418457;22.249996185303;31.161243438721;39.63501739502;12.24143409729;8.6912651062012;59.687694549561;43.187141418457;22.249996185303;31.161243438721;39.63501739502;12.24143409729;8.6912651062012;8;;
457;main;QuadTree::calculateForce(Particle*, double&, double&) const;232;new_allocator.h:191-191,quadtree.cpp:158-158,quadtree.cpp:166-166,quadtree.cpp:185-188,stl_deque.h:1540-1541,stl_deque.h:1545-1545,stl_deque.h:1548-1548;Outermost;61.522945404053;44.515041351318;23.089998245239;32.119369506836;40.690013885498;12.610390663147;8.8277769088745;1.835252404213;1.3279002904892;0.79500013589859;0.95812481641769;1.1249995231628;0.48558738827705;0.14280165731907;8;;
461;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];233;quadtree.cpp:280-284;Innermost;0.32442688941956;0.23473969101906;0.069999985396862;0.16937497258186;0.27499997615814;0.11289809644222;0.069869130849838;0.32442688941956;0.23473969101906;0.069999985396862;0.16937497258186;0.27499997615814;0.11289809644222;0.069869130849838;8;;
462;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];233;stl_vector.h:1131-1131,stl_iterator.h:1068-1068,quadtree.cpp:279-284;Outermost;0.52195793390274;0.37766361236572;0.094999983906746;0.27249997854233;0.37499997019768;0.1845138669014;0.098198041319847;0.19753104448318;0.14292396605015;0.024999996647239;0.10312498360872;0.17499998211861;0.098417907953262;0.041827660053968;8;;
464;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];233;quadtree.cpp:277-277;Single;0.037111695855856;0.026852237060666;0.0049999989569187;0.019374998286366;0.03999999538064;0.020503563806415;0.013479479588568;0.037111695855856;0.026852237060666;0.0049999989569187;0.019374998286366;0.03999999538064;0.020503563806415;0.013479479588568;8;;
450;main;QuadTree::buildTree();229;quadtree.cpp:73-83,quadtree.cpp:459-459;Single;0.028732366859913;0.020789356902242;0.054999992251396;0.059999991208315;0.064999990165234;0.0079322373494506;0.0070710661821067;0.028732366859913;0.020789356902242;0.054999992251396;0.059999991208315;0.064999990165234;0.0079322373494506;0.0070710661821067;2;;
446;main;QuadTree::updateParticles(double) [clone ._omp_fn.2];197;stl_vector.h:1131-1131,quadtree.cpp:298-298,quadtree.cpp:305-306,quadtree.cpp:313-314;Single;0.027534620836377;0.019922727718949;0.00499999942258;0.014374998398125;0.029999995604157;0.014022891409695;0.008210401982069;0.027534620836377;0.019922727718949;0.00499999942258;0.014374998398125;0.029999995604157;0.014022891409695;0.008210401982069;8;;
466;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];233;quadtree.cpp:277-277;Single;0.025140434503555;0.018190409988165;0.00499999942258;0.014999998733401;0.035000000149012;0.01464534830302;0.011180339381099;0.025140434503555;0.018190409988165;0.00499999942258;0.014999998733401;0.035000000149012;0.01464534830302;0.011180339381099;7;;
459;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];233;quadtree.cpp:277-277;Innermost;0.013169009238482;0.0095284609124064;0.00499999942258;0.0078571420162916;0.014999997802079;0.0076121189631522;0.003933978267014;0.013169009238482;0.0095284609124064;0.00499999942258;0.0078571420162916;0.014999997802079;0.0076121189631522;0.003933978267014;7;;
460;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];233;quadtree.cpp:277-277;Innermost;0.013168681412935;0.0095282243564725;0.00499999942258;0.0091666653752327;0.014999997802079;0.0068491189740598;0.0037638626527041;0.013168681412935;0.0095282243564725;0.00499999942258;0.0091666653752327;0.014999997802079;0.0068491189740598;0.0037638626527041;6;;
449;main;QuadTree::buildTree();229;quadtree.cpp:444-447,std_abs.h:72-72;Single;0.010774658061564;0.0077960239723325;0.019999995827675;0.022499997168779;0.024999996647239;0.0042170924134552;0.0035355344880372;0.010774658061564;0.0077960239723325;0.019999995827675;0.022499997168779;0.024999996647239;0.0042170924134552;0.0035355344880372;2;;
458;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];233;stl_vector.h:1131-1131,quadtree.cpp:277-277;Outermost;0.027534782886505;0.019922843202949;0.01999999769032;0.01999999769032;0.01999999769032;0;0;0.0011970936320722;0.0008661593310535;0.00499999942258;0.00499999942258;0.00499999942258;0;0;1;;
