key;label;
CORENTIN-R5-PC_34668;0;
CORENTIN-R5-PC_34668_34668;0.0;
CORENTIN-R5-PC_34668_34711;0.1;
CORENTIN-R5-PC_34668_34712;0.2;
CORENTIN-R5-PC_34668_34713;0.3;
CORENTIN-R5-PC_34692;1;
CORENTIN-R5-PC_34692_34692;1.0;
CORENTIN-R5-PC_34692_34714;1.1;
CORENTIN-R5-PC_34692_34715;1.2;
CORENTIN-R5-PC_34692_34716;1.3;
