loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;
456;main;QuadTree::calculateForce(Particle*, double&, double&) const;232;new_allocator.h:172-172,deque.tcc:565-568,quadtree.cpp:144-144,quadtree.cpp:151-159,quadtree.cpp:166-172,quadtree.cpp:178-183,stl_deque.h:212-212,stl_deque.h:265-267,stl_deque.h:1603-1603;Innermost;65.2470703125;22.445003509521;;;;;;65.2470703125;22.445003509521;;;;;;;;
457;main;QuadTree::calculateForce(Particle*, double&, double&) const;232;new_allocator.h:191-191,quadtree.cpp:158-158,quadtree.cpp:166-166,quadtree.cpp:185-188,stl_deque.h:1540-1541,stl_deque.h:1545-1545,stl_deque.h:1548-1548;Outermost;67.81974029541;23.330001831055;;;;;;2.5726737976074;0.88500022888184;;;;;;;;
462;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];233;stl_vector.h:1131-1131,stl_iterator.h:1068-1068,quadtree.cpp:279-284;Outermost;0.6686042547226;0.22999997437;;;;;;0.348837018013;0.11999999731779;;;;;;;;
461;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];233;quadtree.cpp:280-284;Innermost;0.31976723670959;0.10999998450279;;;;;;0.31976723670959;0.10999998450279;;;;;;;;
446;main;QuadTree::updateParticles(double) [clone ._omp_fn.2];197;stl_vector.h:1131-1131,quadtree.cpp:298-298,quadtree.cpp:305-306,quadtree.cpp:313-314;Single;0.043604630976915;0.015000000596046;;;;;;0.043604630976915;0.015000000596046;;;;;;;;
464;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];233;quadtree.cpp:277-277;Single;0.029069753363729;0.0099999997764826;;;;;;0.029069753363729;0.0099999997764826;;;;;;;;
466;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];233;quadtree.cpp:277-277;Single;0.014534876681864;0.0049999998882413;;;;;;0.014534876681864;0.0049999998882413;;;;;;;;
460;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];233;quadtree.cpp:277-277;Innermost;0.014534876681864;0.0049999998882413;;;;;;0.014534876681864;0.0049999998882413;;;;;;;;
459;main;QuadTree::updateParticles(double) [clone ._omp_fn.1];233;quadtree.cpp:277-277;Innermost;0.014534876681864;0.0049999998882413;;;;;;0.014534876681864;0.0049999998882413;;;;;;;;
