Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;207380;70.470191955566;0;72.82039642334;0;1741891353;0.22979552527834;0.36891666802524;386980;2.6221510923094;1.8011117662029;88.652657601366;80506.230658574;0;0.0086948987472454;1741891280;6.3126655062259;0.0037263675017754;
CORENTIN-R5-PC;_ALL;_ALL;0;207380;70.470191955566;0;72.82039642334;0;1741891353;0.22979552527834;0.36891666802524;386980;2.6221510923094;1.8011117662029;88.652657601366;80506.230658574;0;0.0086948987472454;1741891280;6.3126655062259;0.0037263675017754;
CORENTIN-R5-PC;4581;_ALL;0;207434;67.600578308105;0;72.820457458496;0;1741891353;0.24906481928546;0.31133095667998;386980;2.9243632257569;1.3333554370374;94.612460345087;46574.226072611;0;0.01288266173365;1741891280;0.5496602004704;0.0064413308668252;
CORENTIN-R5-PC;4581;4625;19.271398544312;207443;55.315250396729;0;70.516479492188;0;1741891353;0.32540752937534;0;690966;3.0823313597741;1.7083893185859;94.865371081184;11063.051819825;1.3569799661636;0.0090390971341926;1741891282;0;0.0090390971341926;
CORENTIN-R5-PC;4581;4624;38.660629272461;207442;55.45520401001;0;70.516540527344;0;1741891353;0.13524429756063;0;690902;2.8220967836536;1.8663710249969;95.176034983805;11091.042114734;1.3665540218353;0;1741891282;0;0;
CORENTIN-R5-PC;4581;4581;6.1822757720947;207434;67.600578308105;0;72.820457458496;0;1741891353;0.21449518427227;1.0724757408692;386980;3.0251201052345;0.51035052055764;93.253638296773;13520.117805241;3.4661409854889;0.029585541025754;1741891280;1.8934745102517;0;
CORENTIN-R5-PC;4581;4626;6.1131248474121;213713;54.500064849854;0;70.520736694336;0;1741891353;0.33027483910891;0;692975;2.7431145543215;1.4311907052224;95.467765600006;10900.014332811;1.3556489944458;0.0091742998629811;1741891282;0;0.018348599725962;
CORENTIN-R5-PC;4601;_ALL;0;207380;70.470191955566;0;71.795265197754;0;1741891353;0.20334784944792;0.44795475969381;412116;2.207356002542;2.4431211598435;80.472652100338;33932.004585963;0;0.0029470702135107;1741891281;14.222560704216;0;
CORENTIN-R5-PC;4601;4629;18.502140045166;213544;31.904890060425;0;70.518630981445;0;1741891353;0.26641681939799;0;694911;2.6798399847419;4.5447573443802;92.509271936847;6380.9785126982;1.4258389472961;0;1741891282;0;0;
CORENTIN-R5-PC;4601;4627;24.229990005493;207400;31.899923324585;0;70.512588500977;0;1741891353;0.1724141943036;0;694809;2.4764952172733;4.5297911425061;92.821463747713;6379.9851540242;1.4101860523224;0;1741891282;0;0;
CORENTIN-R5-PC;4601;4628;10.725333213806;207410;35.38500213623;0;70.512550354004;0;1741891353;0.2543450265306;0;694863;2.2043238798085;3.4195274658602;94.107606546602;7077.000972077;1.416512966156;0.0141302792517;1741891282;0;0;
CORENTIN-R5-PC;4601;4601;11.059303283691;207380;70.470191955566;0;71.795265197754;0;1741891353;0.16318955875214;1.07847026241;412116;1.8731327411855;0.056761581703973;62.586706385849;14094.039947164;11.059303283691;0;1741891281;34.241423810972;0;
